year,minister,count
2017,Luis María Aguilar Morales,814
2017,Alfredo Gutiérrez Ortiz Mena,48
2017,José Ramón Cossío Díaz,207
2017,Margarita Beatriz Luna Ramos,51
2017,José Fernando Franco González Salas,469
2017,Arturo Zaldívar Lelo de Larrea,41
2017,Jorge Mario Pardo Rebolledo,111
2017,Eduardo Medina Mora,83
2017,Javier Laynez Potisek,25
2017,Alberto Pérez Dayán,26
2017,Norma Lucía Piña Hernández,64
2018,Luis María Aguilar Morales,563
2018,Alfredo Gutiérrez Ortiz Mena,53
2018,José Ramón Cossío Díaz,222
2018,Margarita Beatriz Luna Ramos,67
2018,José Fernando Franco González Salas,490
2018,Arturo Zaldívar Lelo de Larrea,50
2018,Jorge Mario Pardo Rebolledo,110
2018,Eduardo Medina Mora,68
2018,Javier Laynez Potisek,29
2018,Alberto Pérez Dayán,43
2018,Norma Lucía Piña Hernández,99
2019,Luis María Aguilar Morales,482
2019,Alfredo Gutiérrez Ortiz Mena,72
2019,Juan Luis González Alcántara Carrancá,127
2019,Yasmín Esquivel Mossa,14
2019,José Fernando Franco González Salas,506
2019,Arturo Zaldívar Lelo de Larrea,75
2019,Jorge Mario Pardo Rebolledo,135
2019,Javier Laynez Potisek,32
2019,Alberto Pérez Dayán,45
2019,Norma Lucía Piña Hernández,119
2019,Margarita Ríos Farjat,24
2020,Luis María Aguilar Morales,1054
2020,Alfredo Gutiérrez Ortiz Mena,49
2020,Juan Luis González Alcántara Carrancá,120
2020,Yasmín Esquivel Mossa,24
2020,José Fernando Franco González Salas,526
2020,Arturo Zaldívar Lelo de Larrea,70
2020,Jorge Mario Pardo Rebolledo,84
2020,Javier Laynez Potisek,26
2020,Alberto Pérez Dayán,35
2020,Norma Lucía Piña Hernández,93
2020,Margarita Ríos Farjat,34
2021,Luis María Aguilar Morales,523
2021,Alfredo Gutiérrez Ortiz Mena,55
2021,Juan Luis González Alcántara Carrancá,103
2021,Yasmín Esquivel Mossa,18
2021,Loretta Ortiz Ahlf,28
2021,Arturo Zaldívar Lelo de Larrea,39
2021,Jorge Mario Pardo Rebolledo,102
2021,Javier Laynez Potisek,28
2021,Alberto Pérez Dayán,57
2021,Norma Lucía Piña Hernández,106
2021,Margarita Ríos Farjat,25
2022,Luis María Aguilar Morales,586
2022,Alfredo Gutiérrez Ortiz Mena,67
2022,Juan Luis González Alcántara Carrancá,135
2022,Yasmín Esquivel Mossa,20
2022,Loretta Ortiz Ahlf,46
2022,Arturo Zaldívar Lelo de Larrea,57
2022,Jorge Mario Pardo Rebolledo,113
2022,Javier Laynez Potisek,22
2022,Alberto Pérez Dayán,35
2022,Norma Lucía Piña Hernández,101
2022,Margarita Ríos Farjat,34
2023,Luis María Aguilar Morales,624
2023,Alfredo Gutiérrez Ortiz Mena,84
2023,Juan Luis González Alcántara Carrancá,171
2023,Yasmín Esquivel Mossa,42
2023,Loretta Ortiz Ahlf,55
2023,Arturo Zaldívar Lelo de Larrea,84
2023,Jorge Mario Pardo Rebolledo,144
2023,Javier Laynez Potisek,37
2023,Alberto Pérez Dayán,63
2023,Norma Lucía Piña Hernández,146
2023,Margarita Ríos Farjat,50
2024,Luis María Aguilar Morales,478
2024,Alfredo Gutiérrez Ortiz Mena,83
2024,Juan Luis González Alcántara Carrancá,152
2024,Yasmín Esquivel Mossa,27
2024,Loretta Ortiz Ahlf,57
2024,Lenia Batres Guadarrama,77
2024,Jorge Mario Pardo Rebolledo,112
2024,Javier Laynez Potisek,23
2024,Alberto Pérez Dayán,46
2024,Norma Lucía Piña Hernández,120
2024,Margarita Ríos Farjat,60
2025,Hugo Aguilar Ortiz,61
2025,Lenia Batres Guadarrama,25
2025,Yasmín Esquivel Mossa,12
2025,Loretta Ortiz Ahlf,45
2025,María Estela Ríos González,534
2025,Sara Irene Herrerías Guerra,7
2025,Giovanni Azael Figueroa Mejía,20
2025,Irving Espinosa Betanzo,6
2025,Arístides Rodrigo Guerrero García,27
2026,Hugo Aguilar Ortiz,2
2026,Lenia Batres Guadarrama,3
2026,Yasmín Esquivel Mossa,0
2026,Loretta Ortiz Ahlf,2
2026,María Estela Ríos González,82
2026,Sara Irene Herrerías Guerra,4
2026,Giovanni Azael Figueroa Mejía,0
2026,Irving Espinosa Betanzo,6
2026,Arístides Rodrigo Guerrero García,6
